Model,Task,PR-AUC,PR-AUC SD,AUC-ROC,AUC-ROC SD,Median Rank,Median Rank SD
IF on kinematic,gps,4.726997472067955e-05,1.7257814041171169e-06,0.4875704390110888,0.014532053324046827,1142170.1,50371.2223849094
LOF on kinematic,gps,5.204714943897712e-05,1.9608064667717612e-06,0.5190677808580257,0.020583567672930098,1078949.4,75658.26270424799
OCSVM on kinematic,gps,5.257791036422559e-05,8.512511279803762e-06,0.5088060498091256,0.016575459656270383,1097174.6,96229.64250323287
KNN on kinematic,gps,5.9098524534264936e-05,2.473105047012124e-05,0.5057831094346483,0.01811147871501922,1024307.6,77084.34294281167
ECOD on kinematic,gps,4.7972401371302996e-05,2.6379888210925748e-06,0.5088682757680422,0.022633831624003755,1045423.6,56405.21555162253
IF on gps,gps,0.03516331362136627,0.01540493408583809,0.9886315079076532,0.0003883044726744793,23190.9,1153.8564360439302
LOF on gps,gps,0.00013339626466966225,2.0045297924742963e-05,0.6908505817124159,0.050300456558527135,261303.3,30114.187762166195
OCSVM on gps,gps,0.004380214062445006,0.004777941005163855,0.8353593687511361,0.013800676040738884,182883.2,21515.606712337907
KNN on gps,gps,0.007679209388420982,0.006247725782682149,0.9642786820578078,0.0031931606484725886,76092.5,9471.746235515393
ECOD on gps,gps,0.006731992915744743,0.005678682460283467,0.9913645978003999,0.00039804999044604553,16677.9,1212.985129752216
IF on behavioural,gps,4.766559363289447e-05,2.083510158752625e-06,0.49109182648609345,0.019255575397340706,1116849.1,85590.89686000488
LOF on behavioural,gps,4.7376557443508645e-05,4.540524106097736e-06,0.4992483143973823,0.02154923953280132,1113265.2,78214.81136396098
OCSVM on behavioural,gps,5.209123705964318e-05,6.204840864052932e-06,0.5100964570078167,0.024225785626613303,1084993.0,76584.54035982066
KNN on behavioural,gps,6.289458294665693e-05,3.389667444586351e-05,0.5021186975095437,0.024783148266208165,1087185.9,110307.00285645967
ECOD on behavioural,gps,4.773686129776556e-05,1.405057227240884e-06,0.5034805144519179,0.020804274367965624,1080038.8,82167.75665186436
IF on all,gps,0.0011395295301427216,0.0005414969629639169,0.9535940347209598,0.0019164174103924573,95101.1,14554.493693529843
LOF on all,gps,0.00026005966680578776,0.0002918576440978356,0.6285664692783131,0.040150596856844384,697185.3,110700.18589053949
OCSVM on all,gps,0.0010665722309967309,0.000664520122750707,0.774526295219051,0.015289440368947544,391319.5,10843.988709188148
KNN on all,gps,0.0009895830454474547,0.000595619648038822,0.863323068532994,0.01347436856748828,313134.2,55800.32801718105
ECOD on all,gps,0.0006038174313608869,0.00011475245752137501,0.9324080485366297,0.003742119434446945,118920.3,16822.550708052568
Threshold rule,gps,0.004257472846249801,0.00466577760755242,0.9897234352844937,0.000401369657173985,21066.1,1424.3173101524817
Kinematic Expert,sequential,7.091407968984265e-05,1.6521259303341694e-05,0.6111388974731866,0.03734705788375736,770490.6,128355.84007038792
Gps Expert,sequential,5.1875969753692225e-05,6.074919989832798e-06,0.5060927140519905,0.018574150360684518,1062665.1,76721.90278564523
Sequential Expert,sequential,9.043469991397127e-05,4.760394978791847e-05,0.6549470841665153,0.037442597053216155,717244.0,89495.65265139978
IF on kinematic,sequential,7.589104431052237e-05,9.565615117982831e-06,0.6818473854753682,0.03201354034544375,595819.6,70646.02018107602
LOF on kinematic,sequential,0.00012216393878861082,6.686924186109093e-05,0.5895336866024359,0.018065395714408683,778614.5,97863.62266759288
OCSVM on kinematic,sequential,5.9247803394448675e-05,1.654381650962149e-05,0.492245848936557,0.03588730085850034,1177268.0,148153.247680822
KNN on kinematic,sequential,8.603003200902802e-05,1.9750369694250184e-05,0.6834105517178695,0.02951009841976506,572380.7,96463.33523650322
ECOD on kinematic,sequential,7.091407968984265e-05,1.6521259303341694e-05,0.6111388974731866,0.03734705788375736,770490.6,128355.84007038792
IF on gps,sequential,5.1875969753692225e-05,6.074919989832798e-06,0.5060927140519905,0.018574150360684518,1062665.1,76721.90278564523
LOF on gps,sequential,4.9933809212472297e-05,5.513627961961219e-06,0.5070750722595891,0.024669704060461553,1086560.7,115718.78783639673
OCSVM on gps,sequential,4.7175548628935266e-05,4.396223195571906e-06,0.49496717824031994,0.025576680921122925,1126236.0,89506.4163489132
KNN on gps,sequential,5.0036064964380345e-05,4.797583070426175e-06,0.5009228417560443,0.02771106127090212,1104708.8,143222.88433967176
ECOD on gps,sequential,4.954065383095448e-05,4.169366810068445e-06,0.5098222964006544,0.022414988028300935,1086143.6,42461.34708531982
IF on behavioural,sequential,7.208136961726688e-05,8.489941472629706e-06,0.6689826667878568,0.03081113717930889,641911.7,68458.73465690846
LOF on behavioural,sequential,0.0002638045849750044,0.0002958606841430547,0.5969422300490821,0.01305018730124924,792403.0,65819.16529210928
OCSVM on behavioural,sequential,5.6689552674600935e-05,1.3191825771998877e-05,0.4882443010361753,0.0361218999453847,1193828.4,114990.67723374361
KNN on behavioural,sequential,8.79540026626893e-05,3.0017147205921807e-05,0.6720942337756772,0.026712942890501235,623565.9,82429.22989101012
ECOD on behavioural,sequential,6.941277393310289e-05,2.3164870133430356e-05,0.5868684002908562,0.030374670248357098,820676.3,114743.8918905926
IF on all,sequential,6.154903649388227e-05,7.134462845866557e-06,0.6133913724777313,0.03465113826760531,756144.9,100810.02381174701
LOF on all,sequential,0.00022722750119226294,0.0001885232179995175,0.6084728003999273,0.03603158870085908,784196.1,143473.13828440153
OCSVM on all,sequential,4.361847413915215e-05,5.365047338009352e-06,0.4269975404471914,0.017968640086922623,1420284.6,78818.14006892701
KNN on all,sequential,7.838122013837156e-05,1.9972578918862706e-05,0.6614220678058536,0.036549853887508525,668627.2,106994.69752784482
ECOD on all,sequential,5.6108931164772464e-05,5.11548406955608e-06,0.5679287293219415,0.03542265125091222,881301.8,120448.07364513971
Threshold rule,sequential,7.706459337438021e-05,3.6841160034944573e-06,0.6944589465551718,0.014776832420569848,551983.1,18579.225240843618
